name,horse_id,father,father_id,mother,mother_id,grand_father_1,grand_father_1_id,grand_father_2,grand_father_2_id,grand_mother_1,grand_mother_1_id,grand_mother_2,grand_mother_2_id
スピードパンサー,2021104079,アポロケンタッキー,2012110098,ハナズクリーム,2014102538,Langfuhr,000a0021ab,ブラックタイド,2001103312,DixianaDelight,000a0125f7,ファーマクリーム,2008106177
ケイティキセキ,2021101529,キンシャサノキセキ,2003110212,スイートポーラ,2011109109,フジキセキ,1992109618,スウェプトオーヴァーボードSweptOverboard(米),000a00fa34,ケルトシャーンKeltshaan(米),000a006843,スイートアマリリス,1999107317
マサノヒーロー,2021101800,マインドユアビスケッツMindYourBiscuits(米),000a01392e,マサノヒロイン,2013100686,Posse,000a01124c,ゴールドヘイロー,1997101264,Jazzmane,000a01392d,プランタンシャルム,1996107258
ゲンブ,2021106890,モーニン,2012110091,ホクセーメジャー,2009105234,ヘニーヒューズHennyHughes(米),000a011155,ダイワメジャー,2001103114,Giggly,000a011f24,マイアミガルチMiamiGulch(米),000a00656a
リケアマロン,2021100605,トビーズコーナーToby'sCorner(米),000a011fed,ネモフィラハピネス,2015103492,BellamyRoad,000a011cf9,パイロPyro(米),000a01176a,Brandon'sRide,000a011f6e,タマキチャン,2006100235
ノイバラ,2021106320,カレンブラックヒル,2009106230,ファインロマンス,2008104573,ダイワメジャー,2001103114,ゴールドアリュール,1999106689,チャールストンハーバーCharlestonHarbor(米),000a00fe53,ファインショット,2003107075
パールホワイトイブ,2021101869,ビッグアーサー,2011103328,ファインドザウェイ,2015103468,サクラバクシンオー,1989108341,ローズキングダム,2007103404,シヤボナSiyabona(米),000a01152e,ツルマルグラマー,1999106948
ラディッシュダンス,2021104501,ディオスコリダー,2014105108,インカンデセンス,2010100653,カネヒキリ,2002100978,ファンタスティックライトFantasticLight(米),1996190005,エリモトゥデイ,2006100031,GoldSunrise,000a011005
ティファニーアイス,2021100373,ワールドエース,2009106353,キャンディームーン,2006110167,ディープインパクト,2002100816,CandyRide,000a01132a,マンデラMandela(独),000a011190,BlushingRahy,000a01133f
コスモビオラ,2021101050,ヘニーヒューズHennyHughes(米),000a011155,ランスタン,2013100019,ヘネシーHennessy(米),000a000178,ダイワメジャー,2001103114,MeadowFlyer,000a01117d,マシュールMashhuur(米),000a010a97
ビューティビースト,2021101109,エスケンデレヤ,000a012cc0,ヴェレーナ,2013100369,Giant'sCauseway(米),000a0022e1,アルデバランIIAldebaran(米),000a010541,AldebaranLight,000a011c49,ビッグマリーン,2001106159
ミツカネエリーズ,2021100455,シニスターミニスターSinisterMinister(米),000a011099,ハルノヒダマリ,2014101356,OldTrieste,000a00fdb3,エンパイアメーカーEmpireMaker(米),000a010542,SweetMinister,000a01101c,カワカミプリンセス,2003107045
テイエムノジギク,2021101945,サトノアラジン,2011104063,フィフスアベニュー,2004103870,ディープインパクト,2002100816,マンハッタンカフェ,1998101554,マジックストームMagicStorm(米),000a01116e,エリモパッション,1992100220
ピピット,2021103856,トーセンラー,2008102985,ワンダーセーハ,2012102960,ディープインパクト,2002100816,バゴBago(仏),2001190004,プリンセスオリビアPrincessOlivia(米),000a010abb,エンジェルファタル,2000102099
マリノロマンス,2021101257,マジェスティックウォリアーMajesticWarrior(米),000a011e9c,クラウンロマン,2013102133,A.P.Indy,000a001d37,カネヒキリ,2002100978,DreamSupreme,000a011eae,オグリロマンス,1996105745
セレナイトグレー,2021106962,シルバーステート,2013105903,ポッドマロン,2012102693,ディープインパクト,2002100816,ネオユニヴァース,2000101426,シルヴァースカヤSilverskaya(米),000a0117fe,ローレルマロン,1999103979
マッスルバック,2021103809,ミュゼスルタン,2012104118,ベルシエロ,2009106498,キングカメハメハ,2001103460,ダイワメジャー,2001103114,アスクデピュティ,2004103303,ディーバ,1997103579
サンカルミア,2021101305,ロージズインメイRosesinMay(米),000a010a10,フィールザロマンス,2010103585,DevilHisDue,000a002109,ブラックタイド,2001103312,TellaSecret,000a00b187,フィールザビュウ,2000110184
ダイゴリュウジン,2021106959,アドミラブル,2014105979,ビューティサン,2009101650,ディープインパクト,2002100816,フジキセキ,1992109618,スカーレット,2005102516,セレブレイトコール,2004103092
セイウンマカロン,2021107080,ホッコータルマエ,2009100921,ニシノオマージュ,2014102318,キングカメハメハ,2001103460,ストリートセンスStreetSense(米),000a0113a2,マダムチェロキー,2001105650,ニシノフジムスメ,2003103175
カラーオブジアース,2021100360,キズナ,2010105827,アマルフィターナ,2007103340,ディープインパクト,2002100816,シンボリクリスエス,1999110099,キャットクイルCatequil(加),000a00646f,ホワットケイティーディドWhatKatyDid(米),000a00654d
ウィウィルウィン,2021102347,ダノンシャーク,2008105554,リリークラウン,2005100621,ディープインパクト,2002100816,フレンチデピュティFrenchDeputy(米),000a00013a,カーラパワーCarlaPower(英),000a00689c,マミーブルーII,000a00fc23
ザロック,2021106845,コパノリッキー,2010106548,インシスト,2010105367,ゴールドアリュール,1999106689,シンボリクリスエス,1999110099,コパノニキータ,2001107110,マローラMaroulla(愛),000a0066bc
トーセンレスター,2021105515,マインドユアビスケッツMindYourBiscuits(米),000a01392e,ケアレスウィスパー,2004102857,Posse,000a01124c,フジキセキ,1992109618,Jazzmane,000a01392d,エヴリウィスパー,1997103621
ケーリーバンド,2021106322,ビーチパトロールBeachPatrol(米),000a0141f9,モーニングテラス,2014104097,LemonDropKid,000a0022d0,ディープスカイ,2005101358,BashfulBertie,000a0141f8,ライステラス,2008104574
クイーンズアームス,2021105935,ダンカークDunkirk(米),000a012185,ピュアノアール,2012103910,Unbridled'sSong(米),000a002071,ブラックタイド,2001103312,SecretStatus,000a0121a5,ピュアシンフォニー,2007102620
バスターショット,2021109062,ダノンシャーク,2008105554,ガーデンショット,2013103936,ディープインパクト,2002100816,アサクサデンエン,1999110191,カーラパワーCarlaPower(英),000a00689c,ガーデンシティー,2005100082
シュタイフブリーゼ,2021106088,ホークビルHawkbill(米),000a01327c,ブラックシュガー,2012100093,Kitten'sJoy(米),000a0119b3,ブラックタイド,2001103312,Trensa,000a01327d,キシュウソウシュウ,1997106793
トキメキタロー,2021100282,サトノクラウン,2012104668,ウィッシュ,2008102843,Marju,000a001fb6,ディープインパクト,2002100816,ジョコンダIIJioconda(愛),000a011cf6,コマーサントCommercante(仏),000a010abf
リケアブロンシュ,2021109010,アルデバランIIAldebaran(米),000a010541,ホットレッグス,2003102468,Mr.Prospector,000a001607,Galileo(愛),000a00232b,ChimesofFreedom,000a010548,アクセラレイションAcceleration(仏),000a00fb8f
アーススピリット,2021105339,マインドユアビスケッツMindYourBiscuits(米),000a01392e,アースビーガ,2013102355,Posse,000a01124c,ゴールドアリュール,1999106689,Jazzmane,000a01392d,エイシンベリンダ,2001100137
デルマヴェーダ,2021101986,イスラボニータ,2011103565,デルマサリーチャン,2011100822,フジキセキ,1992109618,ホワイトマズルWhiteMuzzle(英),1990109700,イスラコジーンIslaCozzene(米),000a011566,ローザロッサ,1999107069
