year,race_id,ground,rotation,length,weather,ground_condition,start_time,rank,name,sex_age,e_weight,jockey,gap,p_rank,acsent,odds,pop,h_weight
2019,201903010107,芝,右,1200m,晴,良,13:15,1,タンレイ,牝3,52,西村淳也,,1-1,36.7,5.7,2,428(-4)
2019,201903010107,芝,右,1200m,晴,良,13:15,2,パリテソーロ,牝3,53,横山武史,1/2,4-2,36.4,8.0,5,436(-2)
2019,201903010107,芝,右,1200m,晴,良,13:15,3,フルクトゥス,牡3,56,西田雄一,1.3/4,9-8,35.9,194.8,13,444(-6)
2019,201903010107,芝,右,1200m,晴,良,13:15,4,シャウエン,牝3,54,杉原誠人,1/2,8-8,36.1,6.8,4,464(-4)
2019,201903010107,芝,右,1200m,晴,良,13:15,5,シャンデフレーズ,牝3,51,藤田菜七,1/2,3-2,37.2,2.2,1,420(+18)
2019,201903010107,芝,右,1200m,晴,良,13:15,6,キョウエイシンシア,牝3,54,菱田裕二,アタマ,6-6,36.6,246.3,15,428(0)
2019,201903010107,芝,右,1200m,晴,良,13:15,7,デュオビギン,牝3,53,木幡巧也,ハナ,7-6,36.4,22.4,7,404(-12)
2019,201903010107,芝,右,1200m,晴,良,13:15,8,ルナーアピール,牝3,51,斎藤新,1/2,10-10,36.0,40.0,8,418(0)
2019,201903010107,芝,右,1200m,晴,良,13:15,9,ペイドバケーション,牡3,56,丸山元気,3/4,10-10,36.1,16.0,6,502(0)
2019,201903010107,芝,右,1200m,晴,良,13:15,10,ピンクラグーン,牝3,54,勝浦正樹,1,5-5,37.1,114.8,10,398(+8)
2019,201903010107,芝,右,1200m,晴,良,13:15,11,マジカルプリンセス,牝3,54,鮫島克駿,1.1/2,12-12,36.0,52.7,9,406(0)
2019,201903010107,芝,右,1200m,晴,良,13:15,12,ファビュラスギフト,牝3,53,富田暁,アタマ,2-2,37.9,5.7,3,448(-6)
2019,201903010107,芝,右,1200m,晴,良,13:15,13,フォーピンクカフェ,牝3,54,柴田善臣,1.1/4,14-12,35.9,128.6,11,430(0)
2019,201903010107,芝,右,1200m,晴,良,13:15,14,サンマルジュエル,牝3,54,鮫島良太,1/2,13-12,36.2,213.7,14,434(0)
2019,201903010107,芝,右,1200m,晴,良,13:15,15,ケイズデイジー,牝3,53,森裕太朗,5,15-15,36.6,256.7,16,398(+20)
2019,201903010107,芝,右,1200m,晴,良,13:15,16,ハルノツカイ,牡3,53,木幡育也,9,16-16,37.1,134.7,12,452(0)
2019,201903010108,芝,右,2600m,晴,良,13:45,1,サンサルドス,牡3,55,川又賢治,,11-9-1-1,36.3,3.8,1,522(-4)
2019,201903010108,芝,右,2600m,晴,良,13:45,2,レイヴンキング,牡3,55,横山武史,5,5-5-3-2,36.8,10.9,5,510(-10)
2019,201903010108,芝,右,2600m,晴,良,13:45,3,レイズアフラッグ,牡3,53,団野大成,3,3-3-6-5,36.9,65.3,14,498(-10)
2019,201903010108,芝,右,2600m,晴,良,13:45,4,アイアムレジェンド,牡3,55,富田暁,クビ,13-13-11-11,36.3,6.8,4,484(-8)
